Title,Link,Inferred Organism,PMCID,PMID,pub_date,first_author,abstract
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,cell culture,PMC11166944,38862542,2024 Jun 11,McDonald JT,"1. Nat Commun. 2024 Jun 11;15(1):4825. doi: 10.1038/s41467-024-48920-y.

Space radiation damage rescued by inhibition of key spaceflight associated 
miRNAs.

McDonald JT(#)(1), Kim J(#)(2), Farmerie L(#)(3)(4), Johnson ML(#)(3), Trovao 
NS(5), Arif S(6)(7), Siew K(8), Tsoy S(9), Bram Y(9), Park J(2), Overbey E(2), 
Ryon K(2), Haltom J(10), Singh U(11), Enguita FJ(12), Zaksas V(13)(14), 
Guarnieri JW(10), Topper M(15), Wallace DC(10)(16), Meydan C(2), Baylin S(15), 
Meller R(17), Muratani M(18)(19), Porterfield DM(20), Kaufman B(3)(4), Mori 
MA(21)(22), Walsh SB(8), Sigaudo-Roussel D(23), Mebarek S(24), Bottini M(25), 
Marquette CA(26), Wurtele ES(11)(27), Schwartz RE(9), Galeano D(28), Mason 
CE(2), Grabham P(29), Beheshti A(30)(31).

Author information:
(1)Department of Radiation Medicine, Georgetown University School of Medicine, 
Washington, D.C, USA.
(2)Department of Physiology, Biophysics and Systems Biology and the WorldQuant 
Initiative, Weill Cornell Medicine, New York, NY, USA.
(3)Vascular Medicine Institute at the University of Pittsburgh Department of 
Medicine, Pittsburgh, PA, USA.
(4)Department of Bioengineering, University of Pittsburgh, Pittsburgh, PA, 
15213, USA.
(5)Division of International Epidemiology and Population Studies, Fogarty 
International Center, National Institutes of Health, Bethesda, Maryland, USA.
(6)Center for Data-Driven Discovery in Biomedicine, Children's Hospital of 
Philadelphia, Philadelphia, PA, USA.
(7)Division of Neurosurgery, Children's Hospital of Philadelphia, Philadelphia, 
PA, USA.
(8)London Tubular Centre, Department of Renal Medicine, University College 
London, London, UK.
(9)Division of Gastroenterology and Hepatology, Department of Medicine, Weill 
Cornell Medicine, New York, NY, USA.
(10)The Center for Mitochondrial and Epigenomic Medicine, The Children's 
Hospital of Philadelphia, Philadelphia, PA, 19104, USA.
(11)Bioinformatics and Computational Biology Program, Department of Genetics, 
Development and Cell Biology, Iowa State University, Ames, IA, 90011, USA.
(12)Instituto de Medicina Molecular João Lobo Antunes, Faculdade de Medicina, 
Universidade de Lisboa, 1649-028, Lisboa, Portugal.
(13)Center for Translational Data Science, University of Chicago, Chicago, IL, 
60637, USA.
(14)Clever Research Lab, Springfield, IL, 62704, USA.
(15)Departments of Oncology and Medicine and the Sidney Kimmel Comprehensive 
Cancer Center, The Johns Hopkins Medical Institutions, Baltimore, MD, USA.
(16)Department of Pediatrics, Division of Human Genetics, University of 
Pennsylvania School of Medicine, Philadelphia, PA, 19104, USA.
(17)Neuroscience Institute, Department of Neurobiology/ Department of 
Pharmacology and Toxicology, Morehouse School of Medicine, Atlanta, GA, 30310, 
USA.
(18)Transborder Medical Research Center, University of Tsukuba, Ibaraki, 
305-8575, Japan.
(19)Department of Genome Biology, Institute of Medicine, University of Tsukuba, 
Ibaraki, 305-8575, Japan.
(20)Department of Agricultural and Biological Engineering, Purdue University, 
West Lafayette, IN, 47907, USA.
(21)Department of Biochemistry and Tissue Biology, Institute of Biology, 
Universidade Estadual de Campinas, Campinas, SP, Brazil.
(22)Obesity and Comorbidities Research Center (OCRC), Universidade Estadual de 
Campinas, Campinas, SP, Brazil.
(23)LBTI- UMR CNRS 5305, Université Claude Bernard Lyon 1, Lyon, France.
(24)ICBMS, UMR5246, CNRS, INSA, CPE-Lyon, Université Claude Bernard Lyon 1, 
Villeurbanne, France.
(25)Department of Experimental Medicine, University of Rome Tor Vergata, 00133, 
Rome, Italy.
(26)3d.FAB, CNRS, INSA, CPE-Lyon, UMR5246, ICBMS, Université Claude Bernard Lyon 
1, Villeurbanne, France.
(27)Genetics Program, Department of Genetics, Development and Cell Biology, Iowa 
State University, Ames, IA, 90011, USA.
(28)Facultad de Ingeniería, Universidad Nacional de Asunción, San Lorenzo, 
Paraguay.
(29)Center for Radiological Research, College of Physicians and Surgeons, 
Columbia University, New York, NY, USA. pwg2@cumc.columbia.edu.
(30)Stanley Center for Psychiatric Research, Broad Institute of MIT and Harvard, 
Cambridge, MA, USA. afshin.beheshti@bmsis.org.
(31)Blue Marble Space Institute of Science, Space Biosciences Division, NASA 
Ames Research Center, Moffett Field, CA, US. afshin.beheshti@bmsis.org.
(#)Contributed equally

Our previous research revealed a key microRNA signature that is associated with 
spaceflight that can be used as a biomarker and to develop countermeasure 
treatments to mitigate the damage caused by space radiation. Here, we expand on 
this work to determine the biological factors rescued by the countermeasure 
treatment. We performed RNA-sequencing and transcriptomic analysis on 3D 
microvessel cell cultures exposed to simulated deep space radiation (0.5 Gy of 
Galactic Cosmic Radiation) with and without the antagonists to three microRNAs: 
miR-16-5p, miR-125b-5p, and let-7a-5p (i.e., antagomirs). Significant reduction 
of inflammation and DNA double strand breaks (DSBs) activity and rescue of 
mitochondria functions are observed after antagomir treatment. Using data from 
astronaut participants in the NASA Twin Study, Inspiration4, and JAXA missions, 
we reveal the genes and pathways implicated in the action of these antagomirs 
are altered in humans. Our findings indicate a countermeasure strategy that can 
potentially be utilized by astronauts in spaceflight missions to mitigate space 
radiation damage.

© 2024. The Author(s).

DOI: 10.1038/s41467-024-48920-y
PMCID: PMC11166944
PMID: 38862542 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,cell culture,PMC11166968,38862473,2024 Jun 11,Seylani A,"1. Nat Commun. 2024 Jun 11;15(1):4774. doi: 10.1038/s41467-023-44357-x.

Ethical considerations for the age of non-governmental space exploration.

Seylani A(#)(1), Galsinh AS(#)(2), Tasoula A(#)(3)(4), I AR(5)(6), Camera A(7), 
Calleja-Agius J(8), Borg J(9), Goel C(10), Kim J(11), Clark KB(12)(13)(14), Das 
S(15), Arif S(16), Boerrigter M(17), Coffey C(4), Szewczyk N(4), Mason CE(11), 
Manoli M(18), Karouia F(19)(20)(21), Schwertz H(22)(23)(24), Beheshti A(25)(26), 
Tulodziecki D(27).

Author information:
(1)School of Medicine, University of California, Riverside. 92521 Botanical 
Garden Dr, Riverside, CA, 92507, USA.
(2)School of Medicine, Medical Sciences and Nutrition, University of Aberdeen, 
Aberdeen, AB24 3FX, UK.
(3)Department of Life Science Engineering, FH Technikum, Vienna, Austria.
(4)Heritage College of Osteopathic Medicine, Ohio University, Athens, OH, USA.
(5)Department of Cancer Biology and Therapeutics, MVR Cancer Centre and Research 
Institute, Calicut, India.
(6)Department of Clinical Biochemistry, MVR Cancer Centre and Research 
Institute, Calicut, India.
(7)Department of Molecular Medicine, Institute of Basic Medical Sciences, 
University of Oslo, Oslo, Norway.
(8)Department of Anatomy, Faculty of Medicine and Surgery, University of Malta, 
MSD2080, Msida, Malta.
(9)Department of Applied Biomedical Science, Faculty of Health Sciences, 
University of Malta, MSD2080, Msida, Malta.
(10)Northwestern University Feinberg School of Medicine, Chicago, IL, USA.
(11)Department of Physiology & Biophysics, Weill Cornell Medicine, New York, NY, 
USA.
(12)Cures Within Reach, Chicago, IL, 60602, USA.
(13)Peace Innovation Institute, The Hague 2511, Netherlands & Stanford 
University, Palo Alto, CA, 94305, USA.
(14)Biometrics and Nanotechnology Councils, Institute for Electrical and 
Electronics Engineers, New York, NY, 10016-5997, USA.
(15)Department of Biochemistry, Atal Bihari Vajpayee Institute of Medical 
Sciences, New Delhi, India.
(16)Center for Data-Driven Discovery in Biomedicine, Children's Hospital of 
Philadelphia, Philadelphia, PA, USA.
(17)Deep Space Biology, San Francisco, CA, USA.
(18)School of Law, University of Aberdeen, Aberdeen, AB24 3UB, UK.
(19)Blue Marble Space Institute for Science, Exobiology Branch, NASA Ames 
Research Center, Moffett Field, CA, USA.
(20)Space Research Within Reach, San Francisco, CA, USA.
(21)Center for Space Medicine, Baylor College of Medicine, Houston, TX, USA.
(22)Molecular Medicine Program at the University of Utah, Salt Lake City, UT, 
84112, USA. hansjorg.schwertz@u2m2.utah.edu.
(23)Division of Occupational Medicine at the University of Utah, Salt Lake City, 
UT, 84112, USA. hansjorg.schwertz@u2m2.utah.edu.
(24)Occupational Medicine at Billings Clinic Bozeman, Bozeman, MT, 59715, USA. 
hansjorg.schwertz@u2m2.utah.edu.
(25)Stanley Center for Psychiatric Research, Broad Institute of MIT and Harvard, 
Cambridge, MA, USA. afshin.beheshti@bmsis.org.
(26)Blue Marble Space Institute of Science, Space Biosciences Division, NASA 
Ames Research Center, Moffett Field, CA, US. afshin.beheshti@bmsis.org.
(27)Department of Philosophy, Purdue University, West Lafayette, IN, USA. 
dtulodzi@purdue.edu.
(#)Contributed equally

Mounting ambitions and capabilities for public and private, non-government 
sector crewed space exploration bring with them an increasingly diverse set of 
space travelers, raising new and nontrivial ethical, legal, and medical policy 
and practice concerns which are still relatively underexplored. In this piece, 
we lay out several pressing issues related to ethical considerations for 
selecting space travelers and conducting human subject research on them, 
especially in the context of non-governmental and commercial/private space 
operations.

© 2024. The Author(s).

DOI: 10.1038/s41467-023-44357-x
PMCID: PMC11166968
PMID: 38862473 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests."
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,fruit fly,PMC7000411,32047838,2020,Gilbert R,"1. NPJ Microgravity. 2020 Feb 4;6:4. doi: 10.1038/s41526-019-0091-2. eCollection 
2020.

Spaceflight and simulated microgravity conditions increase virulence of Serratia 
marcescens in the Drosophila melanogaster infection model.

Gilbert R(1), Torres M(2), Clemens R(2), Hateley S(3), Hosamani R(1), Wade W(2), 
Bhattacharya S(4).

Author information:
(1)NASA Postdoctoral Program, Universities Space Research Association, NASA Ames 
Research Center, Moffett Field, CA USA.
(2)2FILMSS/Bionetics, NASA Ames Research Center, Moffett Field, CA USA.
(3)3Department of Molecular and Cell Biology, University of California, 
Berkeley, CA USA.
(4)4NASA Ames Research Center, Moffett Field, CA USA.

While it has been shown that astronauts suffer immune disorders after 
spaceflight, the underlying causes are still poorly understood and there are 
many variables to consider when investigating the immune system in a complex 
environment. Additionally, there is growing evidence that suggests that not only 
is the immune system being altered, but the pathogens that infect the host are 
significantly influenced by spaceflight and ground-based spaceflight conditions. 
In this study, we demonstrate that Serratia marcescens (strain Db11) was 
significantly more lethal to Drosophila melanogaster after growth on the 
International Space Station than ground-based controls, but the increased 
virulence phenotype of S. marcescens did not persist after the bacterial 
cultures were passaged on the ground. Increased virulence was also observed in 
bacteria that were grown in simulated microgravity conditions on the ground 
using the rotating wall vessel. Increased virulence of the space-flown bacteria 
was similar in magnitude between wild-type flies and those that were mutants for 
the well-characterized immune pathways Imd and Toll, suggesting that changes to 
the host immune system after infection are likely not a major factor 
contributing towards increased susceptibility of ground-reared flies infected 
with space-flown bacteria. Characterization of the bacteria shows that at later 
timepoints spaceflight bacteria grew at a greater rate than ground controls in 
vitro, and in the host. These results suggest complex physiological changes 
occurring in pathogenic bacteria in space environments, and there may be novel 
mechanisms mediating these physiological effects that need to be characterized.

© This is a U.S Government work and not under copyright protection in the U.S; 
foreign copyright protection may apply 2020.

DOI: 10.1038/s41526-019-0091-2
PMCID: PMC7000411
PMID: 32047838

Conflict of interest statement: Competing interestsThe authors declare no 
competing interests."
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,fruit fly,PMC7787258,33242407,2020 Dec 8,Walls S,"1. Cell Rep. 2020 Dec 8;33(10):108445. doi: 10.1016/j.celrep.2020.108445. Epub
2020  Nov 25.

Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates 
Remodeling in Drosophila.

Walls S(1), Diop S(1), Birse R(1), Elmen L(1), Gan Z(2), Kalvakuri S(1), Pineda 
S(1), Reddy C(3), Taylor E(1), Trinh B(1), Vogler G(1), Zarndt R(1), McCulloch 
A(2), Lee P(4), Bhattacharya S(3), Bodmer R(5), Ocorr K(6).

Author information:
(1)Development, Aging & Regeneration Program, Sanford Burnham Prebys Medical 
Discovery Institute, 10901 N. Torrey Pines Rd., La Jolla, CA 92037, USA.
(2)Department of Bioengineering, University of California, San Diego, 9500 
Gilman Drive, La Jolla, CA 92093, USA.
(3)Space Biosciences Division, NASA Ames Research Center, Mailstop 236-5, 
Moffett Field, CA 94035, USA.
(4)Department of Pathology and Laboratory Medicine, Brown University, 69 Brown 
Street, Providence, RI 02912, USA.
(5)Development, Aging & Regeneration Program, Sanford Burnham Prebys Medical 
Discovery Institute, 10901 N. Torrey Pines Rd., La Jolla, CA 92037, USA. 
Electronic address: rolf@sbpdiscovery.org.
(6)Development, Aging & Regeneration Program, Sanford Burnham Prebys Medical 
Discovery Institute, 10901 N. Torrey Pines Rd., La Jolla, CA 92037, USA. 
Electronic address: kocorr@sbpdiscovery.org.

Understanding the effects of microgravity on human organs is crucial to 
exploration of low-earth orbit, the moon, and beyond. Drosophila can be sent to 
space in large numbers to examine the effects of microgravity on heart structure 
and function, which is fundamentally conserved from flies to humans. Flies 
reared in microgravity exhibit cardiac constriction with myofibrillar remodeling 
and diminished output. RNA sequencing (RNA-seq) in isolated hearts revealed 
reduced expression of sarcomeric/extracellular matrix (ECM) genes and 
dramatically increased proteasomal gene expression, consistent with the observed 
compromised, smaller hearts and suggesting abnormal proteostasis. This was 
examined further on a second flight in which we found dramatically elevated 
proteasome aggregates co-localizing with increased amyloid and polyQ deposits. 
Remarkably, in long-QT causing sei/hERG mutants, proteasomal gene expression at 
1g, although less than the wild-type expression, was nevertheless increased in 
microgravity. Therefore, cardiac remodeling and proteostatic stress may be a 
fundamental response of heart muscle to microgravity.

Copyright © 2020 The Authors. Published by Elsevier Inc. All rights reserved.

DOI: 10.1016/j.celrep.2020.108445
PMCID: PMC7787258
PMID: 33242407 [Indexed for MEDLINE]

Conflict of interest statement: Declaration of Interests The authors declare no 
competing interests."
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,plant sample,PMC8716943,34975959,2021,García-González J,"1. Front Plant Sci. 2021 Dec 16;12:777119. doi: 10.3389/fpls.2021.777119. 
eCollection 2021.

Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth.

García-González J(1)(2), van Gelderen K(3).

Author information:
(1)Department of Experimental Plant Biology, Faculty of Science, Charles 
University, Prague, Czechia.
(2)Laboratory of Hormonal Regulations in Plants, Institute of Experimental 
Botany, Czech Academy of Sciences, Prague, Czechia.
(3)Plant Ecophysiology, Department of Biology, Faculty of Science, Utrecht 
University, Utrecht, Netherlands.

Primary root growth is required by the plant to anchor in the soil and reach out 
for nutrients and water, while dealing with obstacles. Efficient root elongation 
and bending depends upon the coordinated action of environmental sensing, signal 
transduction, and growth responses. The actin cytoskeleton is a highly plastic 
network that constitutes a point of integration for environmental stimuli and 
hormonal pathways. In this review, we present a detailed compilation 
highlighting the importance of the actin cytoskeleton during primary root growth 
and we describe how actin-binding proteins, plant hormones, and actin-disrupting 
drugs affect root growth and root actin. We also discuss the feedback loop 
between actin and root responses to light and gravity. Actin affects cell 
division and elongation through the control of its own organization. We remark 
upon the importance of longitudinally oriented actin bundles as a hallmark of 
cell elongation as well as the role of the actin cytoskeleton in protein 
trafficking and vacuolar reshaping during this process. The actin network is 
shaped by a plethora of actin-binding proteins; however, there is still a large 
gap in connecting the molecular function of these proteins with their 
developmental effects. Here, we summarize their function and known effects on 
primary root growth with a focus on their high level of specialization. Light 
and gravity are key factors that help us understand root growth directionality. 
The response of the root to gravity relies on hormonal, particularly auxin, 
homeostasis, and the actin cytoskeleton. Actin is necessary for the perception 
of the gravity stimulus via the repositioning of sedimenting statoliths, but it 
is also involved in mediating the growth response via the trafficking of auxin 
transporters and cell elongation. Furthermore, auxin and auxin analogs can 
affect the composition of the actin network, indicating a potential feedback 
loop. Light, in its turn, affects actin organization and hence, root growth, 
although its precise role remains largely unknown. Recently, fundamental studies 
with the latest techniques have given us more in-depth knowledge of the role and 
organization of actin in the coordination of root growth; however, there remains 
a lot to discover, especially in how actin organization helps cell shaping, and 
therefore root growth.

Copyright © 2021 García-González and van Gelderen.

DOI: 10.3389/fpls.2021.777119
PMCID: PMC8716943
PMID: 34975959

Conflict of interest statement: The authors declare that the research was 
conducted in the absence of any commercial or financial relationships that could 
be construed as a potential conflict of interest."
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,arabidopsis,PMC4826010,26941089,2016 Mar,Sparks JA,"1. Plant Cell. 2016 Mar;28(3):746-69. doi: 10.1105/tpc.15.00794. Epub 2016 Mar 3.

HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at 
the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in 
Arabidopsis.

Sparks JA(1), Kwon T(1), Renna L(2), Liao F(3), Brandizzi F(2), Blancaflor 
EB(4).

Author information:
(1)Plant Biology Division, The Samuel Roberts Noble Foundation, Ardmore, 
Oklahoma 73401.
(2)Department of Energy, Plant Research Laboratory, Michigan State University, 
East Lansing, Michigan 48824.
(3)Computing Services Department, The Samuel Roberts Noble Foundation, Ardmore, 
Oklahoma 73401.
(4)Plant Biology Division, The Samuel Roberts Noble Foundation, Ardmore, 
Oklahoma 73401 eblancaflor@noble.org.

The endomembrane system plays essential roles in plant development, but the 
proteome responsible for its function and organization remains largely 
uncharacterized in plants. Here, we identified and characterized the 
HYPERSENSITIVE TO LATRUNCULIN B1 (HLB1) protein isolated through a 
forward-genetic screen in Arabidopsis thaliana for mutants with heightened 
sensitivity to actin-disrupting drugs. HLB1 is a plant-specific 
tetratricopeptide repeat domain-containing protein of unknown function encoded 
by a single Arabidopsis gene. HLB1 associated with the trans-Golgi network 
(TGN)/early endosome (EE) and tracked along filamentous actin, indicating that 
it could link post-Golgi traffic with the actin cytoskeleton in plants. HLB1 was 
found to interact with the ADP-ribosylation-factor guanine nucleotide exchange 
factor, MIN7/BEN1 (HOPM INTERACTOR7/BREFELDIN A-VISUALIZED ENDOCYTIC TRAFFICKING 
DEFECTIVE1) by coimmunoprecipitation. The min7/ben1 mutant phenocopied the mild 
root developmental defects and latrunculin B hypersensitivity of hlb1, and 
analyses of ahlb1/ min7/ben1 double mutant showed that hlb1 and min7/ben1 
operate in common genetic pathways. Based on these data, we propose that HLB1 
together with MIN7/BEN1 form a complex with actin to modulate the function of 
the TGN/EE at the intersection of the exocytic and endocytic pathways in plants.

© 2016 American Society of Plant Biologists. All rights reserved.

DOI: 10.1105/tpc.15.00794
PMCID: PMC4826010
PMID: 26941089 [Indexed for MEDLINE]"
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,plant sample,PMC6048781,29802213,2018 Jun,Kwon T,"1. Plant Cell. 2018 Jun;30(6):1173-1177. doi: 10.1105/tpc.18.00316. Epub 2018 May
 25.

ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root 
Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations.

Kwon T(1), Sparks JA(1), Liao F(1), Blancaflor EB(2).

Author information:
(1)Noble Research Institute Ardmore, Oklahoma 73401.
(2)Noble Research Institute Ardmore, Oklahoma 73401 eblancaflor@noble.org.

DOI: 10.1105/tpc.18.00316
PMCID: PMC6048781
PMID: 29802213 [Indexed for MEDLINE]"
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,plant sample,PMC7010715,32117357,2020,de Bang L,"1. Front Plant Sci. 2020 Feb 4;11:5. doi: 10.3389/fpls.2020.00005. eCollection 
2020.

Brassinosteroids Inhibit Autotropic Root Straightening by Modifying 
Filamentous-Actin Organization and Dynamics.

de Bang L(1)(2), Paez-Garcia A(1), Cannon AE(1)(3), Chin S(1), Kolape J(1)(4), 
Liao F(1), Sparks JA(1), Jiang Q(1), Blancaflor EB(1).

Author information:
(1)Noble Research Institute LLC, Ardmore, OK, United States.
(2)Department of Plant and Environmental Sciences, University of Copenhagen, 
Copenhagen, Denmark.
(3)Department of Biological Sciences, University of North Texas, Denton, TX, 
United States.
(4)Center for Biotechnology, University of Nebraska-Lincoln, Lincoln, NE, United 
States.

When positioned horizontally, roots grow down toward the direction of gravity. 
This phenomenon, called gravitropism, is influenced by most of the major plant 
hormones including brassinosteroids. Epi-brassinolide (eBL) was previously shown 
to enhance root gravitropism, a phenomenon similar to the response of roots 
exposed to the actin inhibitor, latrunculin B (LatB). This led us to hypothesize 
that eBL might enhance root gravitropism through its effects on 
filamentous-actin (F-actin). This hypothesis was tested by comparing gravitropic 
responses of maize (Zea mays) roots treated with eBL or LatB. LatB- and 
eBL-treated roots displayed similar enhanced downward growth compared with 
controls when vertical roots were oriented horizontally. Moreover, the effects 
of the two compounds on root growth directionality were more striking on a 
slowly-rotating two-dimensional clinostat. Both compounds inhibited autotropism, 
a process in which the root straightened after the initial gravistimulus was 
withdrawn by clinorotation. Although eBL reduced F-actin density in 
chemically-fixed Z. mays roots, the impact was not as strong as that of LatB. 
Modification of F-actin organization after treatment with both compounds was 
also observed in living roots of barrel medic (Medicago truncatula) seedlings 
expressing genetically encoded F-actin reporters. Like in fixed Z. mays roots, 
eBL effects on F-actin in living M. truncatula roots were modest compared with 
those of LatB. Furthermore, live cell imaging revealed a decrease in global 
F-actin dynamics in hypocotyls of etiolated M. truncatula seedlings treated with 
eBL compared to controls. Collectively, our data indicate that eBL-and 
LatB-induced enhancement of root gravitropism can be explained by inhibited 
autotropic root straightening, and that eBL affects this process, in part, by 
modifying F-actin organization and dynamics.

Copyright © 2020 de Bang, Paez-Garcia, Cannon, Chin, Kolape, Liao, Sparks, Jiang 
and Blancaflor.

DOI: 10.3389/fpls.2020.00005
PMCID: PMC7010715
PMID: 32117357"
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,arabidopsis,PMC7503278,32887481,2020 Sep 2,Krogman W,"1. Int J Mol Sci. 2020 Sep 2;21(17):6385. doi: 10.3390/ijms21176385.

Cell Type-Specific Imaging of Calcium Signaling in Arabidopsis thaliana Seedling 
Roots Using GCaMP3.

Krogman W(1), Sparks JA(1), Blancaflor EB(1).

Author information:
(1)Noble Research Institute LLC, 2510 Sam Noble Parkway, Ardmore, OK 73401, USA.

Cytoplasmic calcium ([Ca2+]cyt) is a well-characterized second messenger in 
eukaryotic cells. An elevation in [Ca2+]cyt levels is one of the earliest 
responses in plant cells after exposure to a range of environmental stimuli. 
Advances in understanding the role of [Ca2+]cyt in plant development has been 
facilitated by the use of genetically-encoded reporters such as GCaMP. Most of 
these studies have relied on promoters such as Cauliflower Mosaic Virus (35S) 
and Ubiquitin10 (UBQ10) to drive expression of GCaMP in all cell/tissue types. 
Plant organs such as roots consist of various cell types that likely exhibit 
unique [Ca2+]cyt responses to exogenous and endogenous signals. However, few 
studies have addressed this question. Here, we introduce a set of Arabidopsis 
thaliana lines expressing GCaMP3 in five root cell types including the 
columella, endodermis, cortex, epidermis, and trichoblasts. We found 
similarities and differences in the [Ca2+]cyt signature among these root cell 
types when exposed to adenosine tri-phosphate (ATP), glutamate, aluminum, and 
salt, which are known to trigger [Ca2+]cyt increases in root cells. These cell 
type-targeted GCaMP3 lines provide a new resource that should enable more in 
depth studies that address how a particular environmental stimulus is linked to 
specific root developmental pathways via [Ca2+]cyt.

DOI: 10.3390/ijms21176385
PMCID: PMC7503278
PMID: 32887481 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,plant sample,PMC8364238,33881536,2021 Aug 13,Chin S,"1. Plant Cell. 2021 Aug 13;33(7):2131-2148. doi: 10.1093/plcell/koab115.

Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for 
these proteins in actin-mediated root hair development.

Chin S(1), Kwon T(1), Khan BR(1), Sparks JA(1), Mallery EL(2), Szymanski 
DB(2)(3), Blancaflor EB(1).

Author information:
(1)Noble Research Institute LLC, 2510 Sam Noble Parkway, Ardmore, Oklahoma 
73401, USA.
(2)Department of Botany and Plant Pathology, Purdue University, West Lafayette, 
Indiana 47907, USA.
(3)Department of Biological Sciences, Purdue University, West Lafayette, Indiana 
47907, USA.

Comment in
    Plant Cell. 2021 Aug 13;33(7):2106-2107. doi: 10.1093/plcell/koab129.

Root hairs are single-cell protrusions that enable roots to optimize nutrient 
and water acquisition. These structures attain their tubular shapes by confining 
growth to the cell apex, a process called tip growth. The actin cytoskeleton and 
endomembrane systems are essential for tip growth; however, little is known 
about how these cellular components coordinate their activities during this 
process. Here, we show that SPIRRIG (SPI), a beige and Chediak Higashi 
domain-containing protein involved in membrane trafficking, and BRK1 and SCAR2, 
subunits of the WAVE/SCAR (W/SC) actin nucleating promoting complex, display 
polarized localizations in Arabidopsis thaliana root hairs during distinct 
developmental stages. SPI accumulates at the root hair apex via post-Golgi 
compartments and positively regulates tip growth by maintaining tip-focused 
vesicle secretion and filamentous-actin integrity. BRK1 and SCAR2 on the other 
hand, mark the root hair initiation domain to specify the position of root hair 
emergence. Consistent with the localization data, tip growth was reduced in spi 
and the position of root hair emergence was disrupted in brk1 and scar1234. BRK1 
depletion coincided with SPI accumulation as root hairs transitioned from 
initiation to tip growth. Taken together, our work uncovers a role for SPI in 
facilitating actin-dependent root hair development in Arabidopsis through 
pathways that might intersect with W/SC.

© The Author(s) 2021. Published by Oxford University Press on behalf of American 
Society of Plant Biologists.

DOI: 10.1093/plcell/koab115
PMCID: PMC8364238
PMID: 33881536 [Indexed for MEDLINE]"
